,Comment,Emotion,Comment_clean
5396,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,joy,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them
5397,i feel so virtuous having made this for dinner tonight,joy,i feel so virtuous having made this for dinner tonight
5398,having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,anger,having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications
5399,i feel so like distraught and lost being there,fear,i feel so like distraught and lost being there
5400,i spent most of that game feeling unsure about where i needed to be what i should be doing and just mostly feeling completely lost,fear,i spent most of that game feeling unsure about where i needed to be what i should be doing and just mostly feeling completely lost
5401,i do not feel like i am hostile toward others just that i fail to be nice to them,anger,i do not feel like i am hostile toward others just that i fail to be nice to them
5402,i feel scared when my father suddenly opens a door,fear,i feel scared when my father suddenly opens a door
5403,im feeling very uptight right now,fear,i am feeling very uptight right now
5404,i feel violent or something today,anger,i feel violent or something today
5405,i feel like making this a stubborn battle of wills,anger,i feel like making this a stubborn battle of wills
5406,i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear,i thinks this chiefs ccw should be yanked by the state as i feel threatened
5407,i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger,i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just
